Filename,Algorithm,Nodes,Edges,Execution Time (s),Status,Colors
test49.in | Greedy | 58 | 58 | 0.000011468700 | PASSED | 2
test50.in | Backtracking | 59 | 59 | 0.000051101401 | PASSED | 3
test50.in | Welsh-Powell | 59 | 59 | 0.000024983800 | PASSED | 3
test50.in | Greedy | 59 | 59 | 0.000023955100 | PASSED | 3
test51.in | Backtracking | 60 | 60 | 0.000016621000 | PASSED | 2
test51.in | Welsh-Powell | 60 | 60 | 0.000026527100 | PASSED | 2
test51.in | Greedy | 60 | 60 | 0.000011715600 | PASSED | 2
test52.in | Backtracking | 61 | 61 | 0.000057052500 | PASSED | 3
test52.in | Welsh-Powell | 61 | 61 | 0.000032527400 | PASSED | 3
test52.in | Greedy | 61 | 61 | 0.000011955000 | PASSED | 3
test53.in | Backtracking | 62 | 62 | 0.000016829700 | PASSED | 2
test53.in | Welsh-Powell | 62 | 62 | 0.000024061900 | PASSED | 2
test53.in | Greedy | 62 | 62 | 0.000012170800 | PASSED | 2
test54.in | Backtracking | 63 | 63 | 0.000054553599 | PASSED | 3
test54.in | Welsh-Powell | 63 | 63 | 0.000029251201 | PASSED | 3
test54.in | Greedy | 63 | 63 | 0.000012892199 | PASSED | 3
test55.in | Backtracking | 64 | 64 | 0.000018146600 | PASSED | 2
test55.in | Welsh-Powell | 64 | 64 | 0.000026840601 | PASSED | 2
test55.in | Greedy | 64 | 64 | 0.000013142000 | PASSED | 2
test56.in | Backtracking | 65 | 65 | 0.000074189401 | PASSED | 3
test56.in | Welsh-Powell | 65 | 65 | 0.000027699200 | PASSED | 3
test56.in | Greedy | 65 | 65 | 0.000018597999 | PASSED | 3
test57.in | Backtracking | 66 | 66 | 0.000023899100 | PASSED | 2
test57.in | Welsh-Powell | 66 | 66 | 0.000025737800 | PASSED | 2
test57.in | Greedy | 66 | 66 | 0.000012835499 | PASSED | 2
test58.in | Backtracking | 67 | 67 | 0.000061605200 | PASSED | 3
test58.in | Welsh-Powell | 67 | 67 | 0.000033276699 | PASSED | 3
test58.in | Greedy | 67 | 67 | 0.000012894800 | PASSED | 3
test59.in | Backtracking | 68 | 68 | 0.000019389600 | PASSED | 2
test59.in | Welsh-Powell | 68 | 68 | 0.000026380700 | PASSED | 2
test59.in | Greedy | 68 | 68 | 0.000013355500 | PASSED | 2
test60.in | Backtracking | 69 | 69 | 0.000058308800 | PASSED | 3
test60.in | Welsh-Powell | 69 | 69 | 0.000027861400 | PASSED | 3
test60.in | Greedy | 69 | 69 | 0.000013287100 | PASSED | 3
test61.in | Backtracking | 70 | 70 | 0.000018814000 | PASSED | 2
test61.in | Welsh-Powell | 70 | 70 | 0.000027037800 | PASSED | 2
test61.in | Greedy | 70 | 70 | 0.000013539100 | PASSED | 2
test62.in | Backtracking | 71 | 71 | 0.000063037100 | PASSED | 3
test62.in | Welsh-Powell | 71 | 71 | 0.000028755000 | PASSED | 3
test62.in | Greedy | 71 | 71 | 0.000014595000 | PASSED | 3
test63.in | Backtracking | 72 | 72 | 0.000019790899 | PASSED | 2
test63.in | Welsh-Powell | 72 | 72 | 0.000030646499 | PASSED | 2
test63.in | Greedy | 72 | 72 | 0.000014097699 | PASSED | 2
test64.in | Backtracking | 73 | 73 | 0.000061073199 | PASSED | 3
test64.in | Welsh-Powell | 73 | 73 | 0.000030620901 | PASSED | 3
test64.in | Greedy | 73 | 73 | 0.000014219600 | PASSED | 3
test65.in | Backtracking | 74 | 74 | 0.000019799199 | PASSED | 2
test65.in | Welsh-Powell | 74 | 74 | 0.000029109200 | PASSED | 2
test65.in | Greedy | 74 | 74 | 0.000014019701 | PASSED | 2
test66.in | Backtracking | 75 | 75 | 0.000063388601 | PASSED | 3
test66.in | Welsh-Powell | 75 | 75 | 0.000030082800 | PASSED | 3
test66.in | Greedy | 75 | 75 | 0.000014273099 | PASSED | 3
test67.in | Backtracking | 76 | 76 | 0.000020895600 | PASSED | 2
test67.in | Welsh-Powell | 76 | 76 | 0.000031333501 | PASSED | 2
test67.in | Greedy | 76 | 76 | 0.000014704700 | PASSED | 2
test68.in | Backtracking | 77 | 77 | 0.000079836000 | PASSED | 3
test68.in | Welsh-Powell | 77 | 77 | 0.000032100100 | PASSED | 3
test68.in | Greedy | 77 | 77 | 0.000014882399 | PASSED | 3
test69.in | Backtracking | 78 | 78 | 0.000021956300 | PASSED | 2
test69.in | Welsh-Powell | 78 | 78 | 0.000032224299 | PASSED | 2
test69.in | Greedy | 78 | 78 | 0.000015530100 | PASSED | 2
test70.in | Backtracking | 79 | 79 | 0.000070005200 | PASSED | 3
test70.in | Welsh-Powell | 79 | 79 | 0.000039693500 | PASSED | 3
test70.in | Greedy | 79 | 79 | 0.000017803899 | PASSED | 3
